Course_ID,Section_ID,Title,Details,Meetings_Days,Meetings_Time,Term_Dates,Instructor,Instructor_last,CU,Starting_Time,Term,base_course_quality,base_instructor_quality,base_difficulty,base_work_required,review_rCourseQuality,review_rInstructorQuality,review_rDifficulty,review_rWorkRequired
ACCT-6110,ACCT-6110‐001,Fundamentals of Financial Accounting,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Zhou,Zhou,1.0,10:15a,Full,2.879,3.077,2.806,2.473,3.124,3.522,2.7880000000000003,2.272
ACCT-6110,ACCT-6110‐002,Fundamentals of Financial Accounting,Cannot be taken Pass/Fail.,MW,12:00p - 1:29p,"Full, 25 Aug - 3 Dec",Zhou,Zhou,1.0,12:00p,Full,2.879,3.077,2.806,2.473,3.124,3.522,2.7880000000000003,2.272
ACCT-6130,ACCT-6130‐001,Fundamentals of Financial and Managerial Accounting,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 25 Aug - 3 Dec",Lane,Lane,1.0,8:30a,Full,2.831,3.154,2.869,2.619,2.907272727272727,3.2849999999999997,3.2150000000000003,3.0654545454545454
ACCT-6130,ACCT-6130‐002,Fundamentals of Financial and Managerial Accounting,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Lane,Lane,1.0,10:15a,Full,2.831,3.154,2.869,2.619,2.907272727272727,3.2849999999999997,3.2150000000000003,3.0654545454545454
ACCT-6130,ACCT-6130‐003,Fundamentals of Financial and Managerial Accounting,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Guay,Guay,1.0,10:15a,Full,2.831,3.154,2.869,2.619,3.0651724137931033,3.52103448275862,2.7879310344827593,2.424137931034483
ACCT-6130,ACCT-6130‐004,Fundamentals of Financial and Managerial Accounting,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Guay,Guay,1.0,1:45p,Full,2.831,3.154,2.869,2.619,3.0651724137931033,3.52103448275862,2.7879310344827593,2.424137931034483
ACCT-7420,ACCT-7420‐401,Financial Reporting and Business Analysis,,MW,12:00p - 1:29p,"Full, 25 Aug - 3 Dec",Lambert,Lambert,1.0,12:00p,Full,2.838,2.961,2.948,2.705,2.6208510638297873,2.7374468085106387,2.8304255319148934,2.4965957446808518
ACCT-7420,ACCT-7420‐402,Financial Reporting and Business Analysis,,MW,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Lambert,Lambert,1.0,1:45p,Full,2.838,2.961,2.948,2.705,2.6208510638297873,2.7374468085106387,2.8304255319148934,2.4965957446808518
FNCE-6110,FNCE-6110‐001,Corporate Finance,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 25 Aug - 3 Dec",Dieckmann,Dieckmann,1.0,8:30a,Full,2.813,2.989,2.842,2.583,2.8474999999999997,3.1936111111111103,2.7252777777777784,2.4447222222222216
FNCE-6110,FNCE-6110‐002,Corporate Finance,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Dieckmann,Dieckmann,1.0,10:15a,Full,2.813,2.989,2.842,2.583,2.8474999999999997,3.1936111111111103,2.7252777777777784,2.4447222222222216
FNCE-6110,FNCE-6110‐003,Corporate Finance,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Dieckmann,Dieckmann,1.0,1:45p,Full,2.813,2.989,2.842,2.583,2.8474999999999997,3.1936111111111103,2.7252777777777784,2.4447222222222216
FNCE-6110,FNCE-6110‐004,Corporate Finance,Cannot be taken Pass/Fail.,TR,3:30p - 4:59p,"Full, 25 Aug - 3 Dec",Dieckmann,Dieckmann,1.0,3:30p,Full,2.813,2.989,2.842,2.583,2.8474999999999997,3.1936111111111103,2.7252777777777784,2.4447222222222216
FNCE-6130,FNCE-6130‐001,Macroeconomics and the Global Economic Environment,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 25 Aug - 3 Dec",Winberry,Winberry,1.0,8:30a,Full,2.412,2.645,2.761,2.377,2.5290909090909093,2.933636363636364,2.9472727272727273,2.457272727272728
FNCE-6130,FNCE-6130‐002,Macroeconomics and the Global Economic Environment,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Winberry,Winberry,1.0,10:15a,Full,2.412,2.645,2.761,2.377,2.5290909090909093,2.933636363636364,2.9472727272727273,2.457272727272728
FNCE-6230,FNCE-6230‐001,Macroeconomics and The Global Economic Environment (Half CU),Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Q1, 25 Aug - 6 Oct",Landvoigt,Landvoigt,0.5,10:15a,Q1,2.113,2.532,2.766,2.006,1.7837500000000002,2.055,2.8000000000000003,2.0725
FNCE-6230,FNCE-6230‐003,Macroeconomics and The Global Economic Environment (Half CU),Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Q1, 25 Aug - 6 Oct",Landvoigt,Landvoigt,0.5,1:45p,Q1,2.113,2.532,2.766,2.006,1.7837500000000002,2.055,2.8000000000000003,2.0725
FNCE-7030,FNCE-7030‐001,Advanced Corporate Finance,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Garrett,Garrett,1.0,10:15a,Full,3.146,3.273,2.982,3.021,3.365,3.495,2.96,2.98
FNCE-7030,FNCE-7030‐001,Advanced Corporate Finance,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Yilmaz,Yilmaz,1.0,10:15a,Full,3.146,3.273,2.982,3.021,,,,
FNCE-7050,FNCE-7050‐401,Investment Management,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Van Binsbergen,Binsbergen,1.0,10:15a,Full,2.754,3.186,2.939,2.746,2.7483333333333335,3.301666666666667,2.115,1.7683333333333333
FNCE-7070,FNCE-7070‐001,Valuation,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Wessels,Wessels,1.0,1:45p,Full,3.092,3.305,3.205,3.299,3.5649999999999995,3.7549999999999994,2.9499999999999997,2.9599999999999995
FNCE-7070,FNCE-7070‐002,Valuation,Cannot be taken Pass/Fail.,TR,3:30p - 4:59p,"Full, 25 Aug - 3 Dec",Wessels,Wessels,1.0,3:30p,Full,3.092,3.305,3.205,3.299,3.5649999999999995,3.7549999999999994,2.9499999999999997,2.9599999999999995
FNCE-7170,FNCE-7170‐401,Financial Derivatives,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Cuoco,Cuoco,1.0,1:45p,Full,2.814,2.869,3.42,3.115,2.31,2.4433333333333334,3.2433333333333336,2.54
FNCE-7170,FNCE-7170‐402,Financial Derivatives,Cannot be taken Pass/Fail.,TR,3:30p - 4:59p,"Full, 25 Aug - 3 Dec",Cuoco,Cuoco,1.0,3:30p,Full,2.814,2.869,3.42,3.115,2.31,2.4433333333333334,3.2433333333333336,2.54
FNCE-7370,FNCE-7370‐001,Data Science for Finance,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Kogan,Kogan,1.0,1:45p,Full,2.52,2.8,3.01,3.112,2.52,2.8,3.01,3.1125000000000003
FNCE-7400,FNCE-7400‐001,"Central Banks, Macroeconomic Policy and Financial Markets",Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 25 Aug - 3 Dec",Eckstein,Eckstein,1.0,8:30a,Full,2.729,2.823,2.574,2.424,2.7285714285714286,2.357142857142857,2.5742857142857143,2.424285714285714
FNCE-7400,FNCE-7400‐001,"Central Banks, Macroeconomic Policy and Financial Markets",Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 25 Aug - 3 Dec",Gomes,Gomes,1.0,8:30a,Full,2.729,2.823,2.574,2.424,2.7285714285714286,3.288571428571428,2.5742857142857143,2.424285714285714
FNCE-7400,FNCE-7400‐002,"Central Banks, Macroeconomic Policy and Financial Markets",Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Eckstein,Eckstein,1.0,10:15a,Full,2.729,2.823,2.574,2.424,2.7285714285714286,2.357142857142857,2.5742857142857143,2.424285714285714
FNCE-7400,FNCE-7400‐002,"Central Banks, Macroeconomic Policy and Financial Markets",Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Gomes,Gomes,1.0,10:15a,Full,2.729,2.823,2.574,2.424,2.7285714285714286,3.288571428571428,2.5742857142857143,2.424285714285714
FNCE-7500,FNCE-7500‐001,Venture Capital and the Finance of Innovation,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Taylor,Taylor,1.0,1:45p,Full,3.042,3.191,2.805,2.605,2.88925925925926,3.0066666666666664,2.9170370370370367,2.951851851851852
FNCE-7500,FNCE-7500‐002,Venture Capital and the Finance of Innovation,Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Full, 25 Aug - 3 Dec",Taylor,Taylor,1.0,3:30p,Full,3.042,3.191,2.805,2.605,2.88925925925926,3.0066666666666664,2.9170370370370367,2.951851851851852
FNCE-7510,FNCE-7510‐001,The Finance of Buyouts and Acquisitions,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 25 Aug - 3 Dec",Thorburn,Thorburn,1.0,8:30a,Full,2.547,2.715,2.579,2.574,2.444,2.7280000000000006,2.6299999999999994,2.74
FNCE-7510,FNCE-7510‐001,The Finance of Buyouts and Acquisitions,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 25 Aug - 3 Dec",Gultekin,Gultekin,1.0,8:30a,Full,2.547,2.715,2.579,2.574,2.5925000000000002,2.6305,2.7519999999999993,2.7965
FNCE-7510,FNCE-7510‐002,The Finance of Buyouts and Acquisitions,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Thorburn,Thorburn,1.0,10:15a,Full,2.547,2.715,2.579,2.574,2.444,2.7280000000000006,2.6299999999999994,2.74
FNCE-7510,FNCE-7510‐002,The Finance of Buyouts and Acquisitions,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Gultekin,Gultekin,1.0,10:15a,Full,2.547,2.715,2.579,2.574,2.5925000000000002,2.6305,2.7519999999999993,2.7965
FNCE-7510,FNCE-7510‐003,The Finance of Buyouts and Acquisitions,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Thorburn,Thorburn,1.0,1:45p,Full,2.547,2.715,2.579,2.574,2.444,2.7280000000000006,2.6299999999999994,2.74
FNCE-7510,FNCE-7510‐003,The Finance of Buyouts and Acquisitions,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Full, 25 Aug - 3 Dec",Gultekin,Gultekin,1.0,1:45p,Full,2.547,2.715,2.579,2.574,2.5925000000000002,2.6305,2.7519999999999993,2.7965
FNCE-7530,FNCE-7530‐001,Distressed Investing and Value Creation,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Kaiser,Kaiser,1.0,10:15a,Full,2.633,2.84,3.127,3.197,2.6333333333333333,2.84,3.1266666666666665,3.1966666666666668
FNCE-7800,FNCE-7800‐001,FinTech,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Q1, 25 Aug - 6 Oct",Kogan,Kogan,0.5,10:15a,Q1,2.317,2.503,2.216,2.259,2.317142857142857,2.5028571428571427,2.2157142857142857,2.2585714285714285
FNCE-7910,FNCE-7910‐401,Corporate Restructuring,Cannot be taken Pass/Fail.,M,3:30p - 6:29p,"Full, 25 Aug - 3 Dec",Sassower,Sassower,1.0,3:30p,Full,3.225,3.397,2.369,2.215,3.1959999999999997,3.4480000000000004,2.064,1.9400000000000002
FNCE-7910,FNCE-7910‐401,Corporate Restructuring,Cannot be taken Pass/Fail.,M,3:30p - 6:29p,"Full, 25 Aug - 3 Dec",Yilmaz,Yilmaz,1.0,3:30p,Full,3.225,3.397,2.369,2.215,3.1933333333333334,3.1666666666666665,2.3866666666666663,2.1033333333333335
FNCE-7910,FNCE-7910‐401,Corporate Restructuring,Cannot be taken Pass/Fail.,M,3:30p - 6:29p,"Full, 25 Aug - 3 Dec",Sussberg,Sussberg,1.0,3:30p,Full,3.225,3.397,2.369,2.215,3.2,3.3899999999999997,1.58,1.6949999999999998
FNCE-7910,FNCE-7910‐401,Corporate Restructuring,Cannot be taken Pass/Fail.,M,3:30p - 6:29p,"Full, 25 Aug - 3 Dec",Geier,Geier,1.0,3:30p,Full,3.225,3.397,2.369,2.215,3.19,3.02,1.62,1.76
FNCE-8010,FNCE-8010‐001,Advanced Topics in Private Equity,"Cannot be taken Pass/Fail. Hybrid instructional method. ""Touchdown"" classroom booked for on-campus classes - please see syllabus for more information.",M,5:15p - 8:15p,"Full, 25 Aug - 3 Dec",Zilberman,Zilberman,1.0,5:15p,Full,2.945,3.154,2.576,2.509,3.0033333333333334,3.296666666666667,2.68,2.643333333333333
FNCE-8020,FNCE-8020‐001,Shareholder Activism,Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Full, 25 Aug - 3 Dec",Kaiser,Kaiser,1.0,3:30p,Full,2.745,2.915,2.262,2.685,2.796666666666667,2.983333333333334,2.2733333333333334,2.6633333333333336
HCMG-8500,HCMG-8500‐401,Health Care Reform and the Future of the American Health Care System,,MW,3:30p - 4:59p,"Full, 26 Aug - 8 Dec",Emanuel,Emanuel,1.0,3:30p,Full,3.271,3.234,2.77,2.516,3.332307692307692,3.5461538461538464,2.8261538461538462,2.5553846153846154
HCMG-8530,HCMG-8530‐001,Management and Strategy in Medical Devices and Technology,,M,3:30p - 6:29p,"Full, 25 Aug - 3 Dec",Solomon,Solomon,1.0,3:30p,Full,2.912,3.066,1.763,1.926,2.912222222222222,3.065555555555556,1.7633333333333334,1.9255555555555557
HCMG-8530,HCMG-8530‐001,Management and Strategy in Medical Devices and Technology,,M,3:30p - 6:29p,"Full, 25 Aug - 3 Dec",Bergman,Bergman,1.0,3:30p,Full,2.912,3.066,1.763,1.926,3.0966666666666662,3.2733333333333334,1.7666666666666666,2.0833333333333335
HCMG-8550,HCMG-8550‐002,Management of Health Care for the Elderly,,M,7:00p - 9:59p,"Q1, 25 Aug - 6 Oct",Whitman,Whitman,0.5,7:00p,Q1,2.668,3.059,1.522,1.726,2.6681818181818184,3.0590909090909095,1.5218181818181817,1.7263636363636363
HCMG-8570,HCMG-8570‐001,Healthcare Data and Analytics,,TR,1:45p - 3:14p,"Q1, 25 Aug - 6 Oct",King,King,0.5,1:45p,Q1,2.597,2.913,2.013,2.038,3.035,3.295,1.735,1.77
HCMG-8570,HCMG-8570‐001,Healthcare Data and Analytics,,TR,1:45p - 3:14p,"Q1, 25 Aug - 6 Oct",Shenfeld,Shenfeld,0.5,1:45p,Q1,2.597,2.913,2.013,2.038,2.94,2.69,1.85,1.62
HCMG-8580,HCMG-8580‐001,"Health AI: Strategy, Design, and Execution",,TR,10:15a - 11:44a,"Q1, 25 Aug - 6 Oct",Shenfeld,Shenfeld,0.5,10:15a,Q1,,,,,,,,
HCMG-8700,HCMG-8700‐001,The Business of Behavioral Health,,W,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Candon,Candon,0.5,10:15a,Full,2.41,2.637,1.777,2.133,2.41,2.6366666666666667,1.7766666666666666,2.1333333333333333
HCMG-8770,HCMG-8770‐001,Funding Biotech,,M,10:15a - 11:44a,"Full, 25 Aug - 3 Dec",Sapir,Sapir,0.5,10:15a,Full,3.58,3.71,2.07,2.26,3.58,3.71,2.07,2.26
HCMG-8900,HCMG-8900‐001,Advanced Study Project: Management of Health Care Service Businesses,Open to 2nd year HCMG majors only.,T,3:30p - 6:29p,"Full, 25 Aug - 3 Dec",Present,Present,1.0,3:30p,Full,3.135,3.165,1.864,1.886,3.4375,3.4856249999999998,1.8968749999999996,1.860625
LGST-5240,LGST-5240‐401,Human Rts & Globalization,,M,3:30p - 6:29p,"Full, 26 Aug - 8 Dec",De Silva-De Alwis,Alwis,1.0,3:30p,Full,2.299,2.475,2.035,1.965,2.435,2.71,1.48,1.615
LGST-6110,LGST-6110‐001,Responsibility in Global Management,Cannot be taken Pass/Fail. Enrolled students who miss the 1st class will be automatically disenrolled. Students hoping to enroll must add themselves to the waitlist before the 1st class session begins.,R,3:30p - 6:29p,"Q1, 25 Aug - 6 Oct",Conti-Brown,Conti-Brown,0.5,3:30p,Q1,2.567,2.924,1.871,2.016,3.2933333333333334,3.516666666666667,2.2066666666666666,2.66
LGST-6110,LGST-6110‐002,Responsibility in Global Management,Cannot be taken Pass/Fail. Enrolled students who miss the 1st class will be automatically disenrolled. Students hoping to enroll must add themselves to the waitlist before the 1st class session begins.,R,3:30p - 6:29p,"Q2, 20 Oct - 3 Dec",Conti-Brown,Conti-Brown,0.5,3:30p,Q2,2.567,2.924,1.871,2.016,3.2933333333333334,3.516666666666667,2.2066666666666666,2.66
LGST-6120,LGST-6120‐001,Responsibility in Business,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Q1, 25 Aug - 6 Oct",Feinstein,Feinstein,0.5,10:15a,Q1,2.625,2.974,1.814,2.039,2.8633333333333333,3.1683333333333334,1.6533333333333333,1.8816666666666666
LGST-6120,LGST-6120‐002,Responsibility in Business,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Q2, 20 Oct - 3 Dec",Feinstein,Feinstein,0.5,10:15a,Q2,2.625,2.974,1.814,2.039,2.8633333333333333,3.1683333333333334,1.6533333333333333,1.8816666666666666
LGST-6120,LGST-6120‐003,Responsibility in Business,Cannot be taken Pass/Fail.,MW,12:00p - 1:29p,"Q1, 25 Aug - 6 Oct",Feinstein,Feinstein,0.5,12:00p,Q1,2.625,2.974,1.814,2.039,2.8633333333333333,3.1683333333333334,1.6533333333333333,1.8816666666666666
LGST-6120,LGST-6120‐004,Responsibility in Business,Cannot be taken Pass/Fail.,MW,12:00p - 1:29p,"Q2, 20 Oct - 3 Dec",Feinstein,Feinstein,0.5,12:00p,Q2,2.625,2.974,1.814,2.039,2.8633333333333333,3.1683333333333334,1.6533333333333333,1.8816666666666666
LGST-6120,LGST-6120‐005,Responsibility in Business,Cannot be taken Pass/Fail.,T,3:30p - 6:29p,"Q1, 25 Aug - 6 Oct",Shell,Shell,0.5,3:30p,Q1,2.625,2.974,1.814,2.039,3.183333333333333,3.4966666666666666,2.0725000000000002,2.3033333333333332
LGST-6130,LGST-6130‐001,"Business, Social Responsibility, and the Environment",Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Q1, 25 Aug - 6 Oct",Light,Light,0.5,10:15a,Q1,2.674,3.119,1.502,1.872,3.112,3.658,1.732,2.0140000000000002
LGST-6130,LGST-6130‐002,"Business, Social Responsibility, and the Environment",Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Q2, 20 Oct - 3 Dec",Light,Light,0.5,10:15a,Q2,2.674,3.119,1.502,1.872,3.112,3.658,1.732,2.0140000000000002
LGST-6420,LGST-6420‐002,"Big Data, Big Responsibilities: Toward Accountable Artificial Intelligence",,W,3:30p - 6:29p,"Q2, 20 Oct - 3 Dec",Plumb,Plumb,0.5,3:30p,Q2,2.696,2.983,1.661,2.044,,,,
LGST-6440,LGST-6440‐001,"Blockchain and Cryptocurrencies: Business, Legal and Regulatory Considerations",,W,3:30p - 6:29p,"Full, 25 Aug - 3 Dec",Redel,Redel,1.0,3:30p,Full,2.677,2.977,1.863,1.753,2.635,2.9850000000000003,1.6099999999999999,1.44
LGST-7500,LGST-7500‐001,Global (Anti-)Money Laundering,[BLOCK WEEK COURSE - LOCATION: PHILADELPHIA] Attendance mandatory for all sessions. ADD DEADLINE: October 12 - 11:59PM ET. DROP DEADLINE: October 13 - 11:59PM ET. Schedule: https://mba-inside.wharton.upenn.edu/academics/modularterms/,TBA,12:00a - 12:00a,"Modular, 13 Oct - 16 Oct",Conti-Brown,Conti-Brown,0.5,12:00a,Modular,,,,,,,,
LGST-7620,LGST-7620‐401OIDD-7620‐401,Environmental Sustainability and Value Creation,,M,3:30p - 6:29p,"Q1, 25 Aug - 6 Oct",Jacoby,Jacoby,0.5,3:30p,Q1,2.726,2.998,2.64,3.45,,,,
