Course_ID,Section_ID,Title,Details,Meetings_Days,Meetings_Time,Term_Dates,Instructor,Instructor_last,CU,Starting_Time,Term,base_course_quality,base_instructor_quality,base_difficulty,base_work_required,review_rCourseQuality,review_rInstructorQuality,review_rDifficulty,review_rWorkRequired
ACCT-6130,ACCT-6130‐001,Fundamentals of Financial and Managerial Accounting,Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Lane,Lane,1.0,8:30a,Full,2.824,3.152,2.877,2.625,2.8608000000000002,3.2611999999999997,3.2108000000000003,3.0384
ACCT-6130,ACCT-6130‐002,Fundamentals of Financial and Managerial Accounting,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Lane,Lane,1.0,10:15a,Full,2.824,3.152,2.877,2.625,2.8608000000000002,3.2611999999999997,3.2108000000000003,3.0384
ACCT-6130,ACCT-6130‐003,Fundamentals of Financial and Managerial Accounting,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Zhu,Zhu,1.0,10:15a,Full,2.824,3.152,2.877,2.625,,,,
ACCT-6130,ACCT-6130‐004,Fundamentals of Financial and Managerial Accounting,Cannot be taken Pass/Fail.,MW,12:00p - 1:29p,"Full, 20 Jan - 23 Apr",Zhu,Zhu,1.0,12:00p,Full,2.824,3.152,2.877,2.625,,,,
ACCT-7060,ACCT-7060‐002,Cost Management,,TR,12:00p - 1:29p,"Q2, 16 Mar - 23 Apr",Ittner,Ittner,0.5,12:00p,Q2,2.98,3.282,2.365,2.242,2.98,3.2820000000000005,2.3651999999999993,2.242
ACCT-7420,ACCT-7420‐401,Financial Reporting and Business Analysis,,TR,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Fischer,Fischer,1.0,3:30p,Full,2.841,2.967,2.952,2.707,2.9590000000000005,3.0993333333333335,3.128666666666666,2.991333333333333
ACCT-7430,ACCT-7430‐401,"Accounting for Mergers, Acquisitions and Complex Financial Structures",,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Fischer,Fischer,1.0,10:15a,Full,2.87,2.912,3.49,3.175,3.3533333333333335,3.5933333333333333,3.2933333333333334,2.6199999999999997
ACCT-7470,ACCT-7470‐001,Financial Disclosure Analytics,,TR,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Bushee,Bushee,1.0,8:30a,Full,3.283,3.702,1.83,1.833,3.2831034482758623,3.7024137931034478,1.8296551724137935,1.8327586206896551
ACCT-7470,ACCT-7470‐002,Financial Disclosure Analytics,,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Bushee,Bushee,1.0,10:15a,Full,3.283,3.702,1.83,1.833,3.2831034482758623,3.7024137931034478,1.8296551724137935,1.8327586206896551
ACCT-7900,ACCT-7900‐401,Accounting for Entrepreneurs,,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Ittner,Ittner,1.0,10:15a,Full,2.67,2.96,2.29,1.84,2.67,2.96,2.29,1.84
ACCT-7970,ACCT-7970‐401FNCE-7970‐401,Taxes and Business Strategy,,MW,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Blouin,Blouin,1.0,8:30a,Full,3.21,3.445,3.54,2.845,3.21,3.4450000000000003,3.54,2.8449999999999998
ACCT-7970,ACCT-7970‐402FNCE-7970‐402,Taxes and Business Strategy,,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Blouin,Blouin,1.0,10:15a,Full,3.21,3.445,3.54,2.845,3.21,3.4450000000000003,3.54,2.8449999999999998
BEPP-6200,BEPP-6200‐001,"Behavioral Economics, Markets and Public Policy",Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Kessler,Kessler,1.0,1:45p,Full,3.116,3.514,2.227,1.999,3.095,3.4933333333333336,2.19,2.0066666666666664
BEPP-7640,BEPP-7640‐403ACCT-7640‐403,Climate and Financial Markets,,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Van Benthem,Benthem,1.0,10:15a,Full,3.2,3.547,2.437,2.503,3.2000000000000006,3.61,2.436666666666667,2.5033333333333334
BEPP-7640,BEPP-7640‐403ACCT-7640‐403,Climate and Financial Markets,,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Heinle,Heinle,1.0,10:15a,Full,3.2,3.547,2.437,2.503,3.2000000000000006,3.483333333333334,2.436666666666667,2.5033333333333334
BEPP-7640,BEPP-7640‐404ACCT-7640‐404,Climate and Financial Markets,,TR,12:00p - 1:29p,"Full, 20 Jan - 23 Apr",Van Benthem,Benthem,1.0,12:00p,Full,3.2,3.547,2.437,2.503,3.2000000000000006,3.61,2.436666666666667,2.5033333333333334
BEPP-7640,BEPP-7640‐404ACCT-7640‐404,Climate and Financial Markets,,TR,12:00p - 1:29p,"Full, 20 Jan - 23 Apr",Heinle,Heinle,1.0,12:00p,Full,3.2,3.547,2.437,2.503,3.2000000000000006,3.483333333333334,2.436666666666667,2.5033333333333334
BEPP-7700,BEPP-7700‐001,American Public Policy through an Economic Lens,,MW,12:00p - 1:29p,"Full, 20 Jan - 23 Apr",Selman,Selman,1.0,12:00p,Full,2.586,2.859,2.54,2.342,2.52,2.7833333333333337,2.526666666666667,2.0733333333333337
BEPP-7890,BEPP-7890‐001,"Economic Globalization: Policy, History and Contemporary Issues",,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Kaya Orloff,Orloff,1.0,10:15a,Full,3.032,3.065,2.594,2.549,3.345,3.455,2.7750000000000004,2.5975
BEPP-8050,BEPP-8050‐401OIDD-8050‐401,Risk Management,,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Selman,Selman,1.0,10:15a,Full,2.158,2.527,2.644,1.992,2.424166666666667,2.9250000000000003,2.9283333333333332,2.1533333333333333
FNCE-6110,FNCE-6110‐001,Corporate Finance,Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Indarte,Indarte,1.0,8:30a,Full,2.799,2.976,2.834,2.579,2.249166666666667,2.6358333333333333,2.815,2.4783333333333335
FNCE-6110,FNCE-6110‐001,Corporate Finance,Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Drechsler,Drechsler,1.0,8:30a,Full,2.799,2.976,2.834,2.579,,,,
FNCE-6110,FNCE-6110‐002,Corporate Finance,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Indarte,Indarte,1.0,10:15a,Full,2.799,2.976,2.834,2.579,2.249166666666667,2.6358333333333333,2.815,2.4783333333333335
FNCE-6110,FNCE-6110‐002,Corporate Finance,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Drechsler,Drechsler,1.0,10:15a,Full,2.799,2.976,2.834,2.579,,,,
FNCE-6110,FNCE-6110‐003,Corporate Finance,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Indarte,Indarte,1.0,1:45p,Full,2.799,2.976,2.834,2.579,2.249166666666667,2.6358333333333333,2.815,2.4783333333333335
